ASN,Prefix,Max prefix length
AS37281,41.75.64.0/20,24
AS36924,102.141.0.0/18,24
AS36924,2c0f:ef58::/32,48
AS37322,197.255.176.0/20,24
AS37599,196.10.98.0/23,24
AS37599,2001:43f8:3e0::/44,48
AS37100,154.72.240.0/20,24
AS37100,2c0f:f8e0::/32,48
AS37100,41.207.232.0/22,24
AS11845,41.193.0.0/16,24
AS11845,2c0f:fd58::/32,48
AS11845,196.41.192.0/19,24
AS11845,196.3.176.0/22,24
AS11845,196.41.0.0/19,24
AS11845,102.39.0.0/16,24
AS11845,197.245.0.0/16,24
AS11845,196.22.224.0/20,24
AS11845,196.3.164.0/22,24
AS11845,196.3.168.0/21,24
AS198504,41.193.240.0/20,24
AS11845,196.22.192.0/19,24
AS327940,2c0f:f3b8::/128,128
AS328362,102.131.64.0/18,18
AS328362,2001:43f8:1310::/48,48
AS36916,41.221.224.0/23,24
AS36916,2c0f:fcb0::/32,48
AS36916,41.180.52.0/22,24
AS36916,41.180.16.0/20,24
AS36916,41.180.9.0/24,24
AS36916,41.180.104.0/23,24
AS36916,41.180.0.0/20,24
AS36916,41.180.120.0/21,24
AS36916,41.223.63.0/24,24
AS36916,41.221.235.0/24,24
AS36916,41.221.232.0/24,24
AS36916,41.223.62.0/24,24
AS36916,41.180.112.0/21,24
AS36916,41.180.224.0/20,24
AS36916,41.138.92.0/22,24
AS36916,41.180.74.0/23,24
AS36916,41.180.0.0/16,24
AS36916,41.180.32.0/20,24
AS36916,41.223.60.0/22,24
AS36916,41.180.88.0/22,24
AS36916,41.180.96.0/21,24
AS36916,2c0f:fcb0:5000::/36,48
AS36916,41.180.44.0/23,24
AS36916,41.221.238.0/23,24
AS36916,2c0f:fcb0:3000::/36,48
AS36916,41.221.233.0/24,24
AS36916,41.221.227.0/24,24
AS36916,41.180.80.0/21,24
AS36916,41.221.230.0/23,24
AS36916,41.180.66.0/23,24
AS36916,41.180.72.0/24,24
AS36916,41.180.48.0/22,24
AS36916,41.221.226.0/24,24
AS36916,41.180.76.0/23,24
AS36916,2c0f:fcb0:4000::/36,48
AS36916,41.180.98.0/23,24
AS36916,41.221.236.0/23,24
AS36916,41.180.72.0/21,24
AS36916,41.180.64.0/21,24
AS327822,2c0f:ed70::/32,32
AS37204,196.220.100.0/22,22
AS37204,196.220.120.0/21,21
AS37204,196.220.96.0/23,24
AS37568,196.220.100.0/22,22
AS37568,196.220.120.0/21,21
AS37568,196.220.96.0/23,24
AS37184,196.220.100.0/22,22
AS37184,196.220.120.0/21,21
AS37184,196.220.96.0/23,24
AS32437,102.176.224.0/20,24
AS32437,2c0f:f178::/32,48
AS328365,102.176.239.0/24,24
AS32437,41.223.244.0/22,24
AS328441,102.68.25.0/24,24
AS328441,102.68.26.0/24,24
AS328441,102.68.27.0/24,24
AS328441,102.68.28.0/24,24
AS328441,102.68.29.0/24,24
AS328441,102.68.30.0/24,24
AS328441,102.68.31.0/24,24
AS328441,2c0f:ecf8::/32,32
AS328441,102.68.24.0/21,21
AS37721,102.67.96.0/19,24
AS37721,2c0f:ee00::/32,48
AS37314,41.79.20.0/22,24
AS37314,154.119.64.0/20,24
AS37314,2c0f:f1a0::/32,48
AS36969,41.87.0.0/19,19
AS36969,41.87.0.0/21,21
AS36969,41.87.8.0/21,21
AS36969,41.87.16.0/22,22
AS36969,41.87.24.0/23,23
AS36969,41.87.26.0/24,24
AS36969,41.87.29.0/24,24
AS36969,41.87.30.0/24,24
AS36969,41.87.31.0/24,24
AS36969,41.221.96.0/20,20
AS36969,41.221.96.0/23,23
AS36969,41.221.96.0/24,24
AS36969,41.221.100.0/23,23
AS36969,41.221.102.0/23,23
AS36969,41.221.104.0/24,24
AS36969,41.221.105.0/24,24
AS36969,41.221.108.0/23,23
AS36969,2c0e:7800::/24,24
AS327983,2c0f:f338::/32,48
AS328039,2c0f:f288::/32,32
AS328366,41.79.212.0/22,24
AS328366,2c0f:efe0::/32,64
AS328366,154.68.176.0/20,24
AS328366,154.118.244.0/22,24
AS37356,196.6.242.0/24,24
AS6968,2001:43f8:790::/48,48
AS6968,196.29.56.0/21,24
AS37520,2001:43f8:1430::/48,48
AS328350,102.132.0.0/20,24
AS13335,197.234.240.0/22,22
AS13335,197.234.240.0/24,24
AS13335,197.234.241.0/24,24
AS13335,197.234.242.0/24,24
AS13335,197.234.243.0/24,24
AS37100,41.206.96.0/19,24
AS37100,2c0f:feb0::/32,48
AS37100,105.16.0.0/12,24
AS37100,2c0f:feb1::/32,48
AS37100,41.217.212.0/22,24
AS37100,41.87.96.0/19,24
AS0,196.60.48.0/24,32
AS0,196.60.0.0/24,32
AS0,196.223.5.0/24,32
AS0,2001:43f8::/48,128
AS0,196.60.52.0/24,32
AS0,196.60.50.0/24,32
AS0,196.223.6.0/24,32
AS327844,196.49.5.0/24,32
AS327844,2001:43f8:1::/48,128
AS37271,41.78.188.0/22,22
AS37271,197.157.64.0/19,19
AS37271,2c0f:fa90::/32,32
AS37271,2c0f:fa90:f00::/40,40
AS36985,41.77.56.0/21,24
AS36985,154.66.64.0/20,24
AS36985,41.223.172.0/22,24
AS37049,41.222.137.0/24,24
AS37049,41.242.160.0/20,20
AS37049,196.32.248.0/21,21
AS37049,2c0f:fdc8::/32,32
AS37049,41.222.136.0/22,22
AS37049,41.222.140.0/22,22
AS37049,41.242.168.0/23,23
AS37049,41.242.175.0/24,24
AS33764,196.192.141.0/24,24
AS37301,196.192.124.0/24,24
AS37181,196.216.169.0/24,24
AS33764,2001:43f8:d00::/48,48
AS33764,196.216.2.0/23,24
AS37301,196.192.142.0/24,24
AS37177,196.216.168.0/24,24
AS37708,196.192.140.0/24,24
AS33764,2001:42d0:7ab5::/48,48
AS33764,196.2.3.0/24,24
AS37708,196.192.143.0/24,24
AS37708,196.1.0.0/24,24
AS37708,196.192.112.0/23,24
AS37708,2001:43f8:90::/48,48
AS37301,2001:43f8:92::/48,48
AS33764,2001:42d0::/32,32
AS33764,2001:42d0::/48,48
AS33764,2001:42d0:150c::/48,48
AS37181,2001:43f8:110::/48,48
AS37177,2001:43f8:120::/48,48
AS327999,102.129.0.0/19,19
AS327999,196.202.224.0/21,21
AS327999,102.129.2.0/23,23
AS327999,102.129.4.0/23,23
AS327999,2c0f:f5d0::/32,64
AS37519,154.70.136.0/21,22
AS37519,2c0f:f668::/32,32
AS328391,102.130.236.0/22,24
AS328391,2c0f:ec18::/32,48
AS37722,2c0f:ec30::/32,32
AS328317,102.141.224.0/22,24
AS328317,2c0f:eed8::/32,32
AS328037,2c0f:f0c8::/32,128
AS22690,41.242.140.0/22,24
AS328285,102.164.64.0/20,24
AS328285,2c0f:ee88::/32,54
AS37308,41.78.208.0/24,24
AS37308,41.78.209.0/24,24
AS37308,41.78.210.0/24,24
AS37308,41.78.211.0/24,24
AS37308,197.234.32.0/24,24
AS37308,197.234.33.0/24,24
AS37308,197.234.34.0/24,24
AS37308,197.234.35.0/24,24
AS37308,197.234.36.0/24,24
AS37308,197.234.37.0/24,24
AS37308,197.234.38.0/24,24
AS37308,197.234.39.0/24,24
AS37308,197.234.48.0/24,24
AS37308,197.234.49.0/24,24
AS37308,197.234.50.0/24,24
AS37308,197.234.51.0/24,24
AS37308,197.234.52.0/24,24
AS37308,197.234.57.0/24,24
AS37308,197.234.58.0/24,24
AS37308,197.242.240.0/24,24
AS37308,197.242.241.0/24,24
AS37308,197.242.242.0/24,24
AS37308,197.242.243.0/24,24
AS37308,197.242.244.0/24,24
AS37308,197.242.245.0/24,24
AS37308,197.242.250.0/24,24
AS37308,197.242.251.0/24,24
AS37308,197.242.252.0/24,24
AS37308,2c0f:f3a8::/32,40
AS37308,2c0f:f3a8::/40,40
AS328114,102.134.192.0/18,24
AS328114,2c0f:edd8::/32,64
AS37640,154.66.88.0/21,24
AS37640,2c0f:f470::/32,48
AS37640,154.66.88.0/21,21
AS715,196.251.252.0/22,24
AS37340,197.255.160.0/23,23
AS37340,197.255.162.0/23,23
AS37340,197.255.164.0/23,23
AS37340,197.255.166.0/23,23
AS37340,197.255.168.0/23,23
AS37340,197.255.170.0/23,23
AS37340,197.255.172.0/23,23
AS37340,197.255.174.0/23,23
AS37340,41.217.0.0/23,23
AS37340,41.217.2.0/23,23
AS37340,41.217.4.0/23,23
AS37340,41.217.6.0/23,23
AS37340,41.217.8.0/23,23
AS37340,41.217.10.0/23,23
AS37340,41.217.12.0/23,23
AS37340,41.217.14.0/23,23
AS37340,41.217.16.0/23,23
AS37340,41.217.18.0/23,23
AS37340,41.217.20.0/23,23
AS37340,41.217.22.0/23,23
AS37340,41.217.24.0/23,23
AS37340,41.217.26.0/23,23
AS37340,41.217.28.0/23,23
AS37340,41.217.30.0/23,23
AS37340,41.217.32.0/23,23
AS37340,41.217.34.0/23,23
AS37340,41.217.36.0/23,23
AS37340,41.217.38.0/23,23
AS37340,41.217.40.0/23,23
AS37340,41.217.42.0/23,23
AS37340,41.217.44.0/23,23
AS37340,41.217.46.0/23,23
AS37340,41.217.48.0/23,23
AS37340,41.217.50.0/23,23
AS37340,41.217.52.0/23,23
AS37340,41.217.54.0/23,23
AS37340,41.217.56.0/23,23
AS37340,41.217.58.0/23,23
AS37340,41.217.60.0/23,23
AS37340,41.217.62.0/23,23
AS37340,41.217.64.0/23,23
AS37340,41.217.66.0/23,23
AS37340,41.217.68.0/23,23
AS37340,41.217.70.0/23,23
AS37340,41.217.72.0/23,23
AS37340,41.217.74.0/23,23
AS37340,41.217.76.0/23,23
AS37340,41.217.78.0/23,23
AS37340,41.217.80.0/23,23
AS37340,41.217.82.0/23,23
AS37340,41.217.84.0/23,23
AS37340,41.217.86.0/23,23
AS37340,41.217.88.0/23,23
AS37340,41.217.90.0/23,23
AS37340,41.217.92.0/23,23
AS37340,41.217.94.0/23,23
AS37340,41.217.96.0/23,23
AS37340,41.217.98.0/23,23
AS37340,41.217.100.0/23,23
AS37340,41.217.102.0/23,23
AS37340,41.217.104.0/23,23
AS37340,41.217.106.0/23,23
AS37340,41.217.108.0/23,23
AS37340,41.217.110.0/23,23
AS37340,41.217.112.0/23,23
AS37340,41.217.114.0/23,23
AS37340,41.217.116.0/23,23
AS37340,41.217.118.0/23,23
AS37340,41.217.120.0/23,23
AS37340,41.217.122.0/23,23
AS37340,41.217.124.0/23,23
AS37340,41.217.126.0/23,23
AS37340,154.118.0.0/23,23
AS37340,154.118.2.0/23,23
AS37340,154.118.4.0/23,23
AS37340,154.118.6.0/23,23
AS37340,154.118.8.0/23,23
AS37340,154.118.10.0/23,23
AS37340,154.118.12.0/23,23
AS37340,154.118.14.0/23,23
AS37340,154.118.16.0/23,23
AS37340,154.118.18.0/23,23
AS37340,154.118.20.0/23,23
AS37340,154.118.22.0/23,23
AS37340,154.118.24.0/23,23
AS37340,154.118.26.0/23,23
AS37340,154.118.28.0/23,23
AS37340,154.118.30.0/23,23
AS37340,154.118.32.0/23,23
AS37340,154.118.34.0/23,23
AS37340,154.118.36.0/23,23
AS37340,154.118.38.0/23,23
AS37340,154.118.40.0/23,23
AS37340,154.118.42.0/23,23
AS37340,154.118.44.0/23,23
AS37340,154.118.46.0/23,23
AS37340,154.118.48.0/23,23
AS37340,154.118.50.0/23,23
AS37340,154.118.52.0/23,23
AS37340,154.118.54.0/23,23
AS37340,154.118.56.0/23,23
AS37340,154.118.58.0/23,23
AS37340,154.118.60.0/23,23
AS37340,154.118.62.0/23,23
AS37340,154.118.64.0/23,23
AS37340,154.118.66.0/23,23
AS37340,154.118.68.0/23,23
AS37340,154.118.70.0/23,23
AS37340,154.118.72.0/23,23
AS37340,154.118.74.0/23,23
AS37340,154.118.76.0/23,23
AS37340,154.118.78.0/23,23
AS37340,154.118.80.0/23,23
AS37340,154.118.82.0/23,23
AS37340,154.118.84.0/23,23
AS37340,154.118.86.0/23,23
AS37340,154.118.88.0/23,23
AS37340,154.118.90.0/23,23
AS37340,154.118.92.0/23,23
AS37340,154.118.94.0/23,23
AS37340,154.118.96.0/23,23
AS37340,154.118.98.0/23,23
AS37340,154.118.100.0/23,23
AS37340,154.118.102.0/23,23
AS37340,154.118.104.0/23,23
AS37340,154.118.106.0/23,23
AS37340,154.118.108.0/23,23
AS37340,154.118.110.0/23,23
AS37340,154.118.112.0/23,23
AS37340,154.118.114.0/23,23
AS37340,154.118.116.0/23,23
AS37340,154.118.118.0/23,23
AS37340,154.118.120.0/23,23
AS37340,154.118.122.0/23,23
AS37340,154.118.124.0/23,23
AS37340,154.118.126.0/23,23
AS37340,154.120.64.0/23,23
AS37340,154.120.66.0/23,23
AS37340,154.120.68.0/23,23
AS37340,154.120.70.0/23,23
AS37340,154.120.72.0/23,23
AS37340,154.120.74.0/23,23
AS37340,154.120.76.0/23,23
AS37340,154.120.78.0/23,23
AS37340,154.120.80.0/23,23
AS37340,154.120.82.0/23,23
AS37340,154.120.84.0/23,23
AS37340,154.120.86.0/23,23
AS37340,154.120.88.0/23,23
AS37340,154.120.90.0/23,23
AS37340,154.120.92.0/23,23
AS37340,154.120.94.0/23,23
AS37340,154.120.96.0/23,23
AS37340,154.120.98.0/23,23
AS37340,154.120.100.0/23,23
AS37340,154.120.102.0/23,23
AS37340,154.120.104.0/23,23
AS37340,154.120.106.0/23,23
AS37340,154.120.108.0/23,23
AS37340,154.120.110.0/23,23
AS37340,154.120.112.0/23,23
AS37340,154.120.114.0/23,23
AS37340,154.120.116.0/23,23
AS37340,154.120.118.0/23,23
AS37340,154.120.120.0/23,23
AS37340,154.120.122.0/23,23
AS37340,154.120.124.0/23,23
AS37340,154.120.126.0/23,23
AS37340,2c0f:f5a0::/32,32
AS37340,197.242.96.0/23,23
AS37340,197.242.98.0/23,23
AS37340,197.242.100.0/23,23
AS37340,197.242.102.0/23,23
AS37340,197.242.104.0/23,23
AS37340,197.242.106.0/23,23
AS37340,197.242.108.0/23,23
AS37340,197.242.110.0/23,23
AS37340,197.242.112.0/23,23
AS37340,197.242.114.0/23,23
AS37340,197.242.116.0/23,23
AS37340,197.242.118.0/23,23
AS37340,197.242.120.0/23,23
AS37340,197.242.122.0/23,23
AS37340,197.242.124.0/23,23
AS37340,197.242.126.0/23,23
AS37668,196.10.55.0/24,24
AS37668,2001:43f8:1f5::/48,48
AS37663,196.10.54.0/24,24
AS37663,2001:43f8:1f4::/48,48
AS37474,196.10.52.0/23,23
AS37474,2001:43f8:1f3::/48,48
AS0,196.223.14.0/23,23
AS0,196.223.22.0/23,23
AS0,196.223.30.0/23,23
AS0,2001:43f8:1f0::/47,47
AS0,2001:43f8:1f2::/48,48
AS37686,196.220.64.0/19,23
AS61138,2c0f:f530::/32,44
AS10474,196.28.128.0/18,24
AS10474,2c0f:ff40::/26,64
AS10474,197.80.0.0/13,24
AS10474,196.22.160.0/19,24
AS10474,196.28.64.0/18,24
AS10474,197.88.0.0/13,24
AS10474,196.4.162.0/24,24
AS12258,196.41.128.0/19,24
AS10474,196.2.16.0/20,24
AS12258,196.28.128.0/18,24
AS12258,196.28.64.0/18,24
AS12258,41.86.96.0/19,24
AS10474,196.28.16.0/20,24
AS10474,196.28.192.0/19,24
AS12258,196.2.128.0/19,24
AS10474,41.86.96.0/19,24
AS10474,196.28.32.0/20,24
AS10474,196.2.32.0/19,24
AS10474,196.41.128.0/19,24
AS12258,196.28.192.0/19,24
AS12258,196.2.32.0/19,24
AS10474,196.2.128.0/19,24
AS12258,196.4.162.0/24,24
AS10474,196.28.8.0/24,24
AS10474,196.44.192.0/20,24
AS10474,41.132.0.0/14,24
AS37172,41.76.112.0/21,21
AS37172,196.250.240.0/21,21
AS37172,197.231.144.0/21,21
AS37172,2c0f:ee28::/32,32
AS37564,154.66.152.0/21,22
AS37564,196.220.160.0/19,20
AS37564,197.231.232.0/22,23
AS37564,2c0f:f5f0::/32,36
AS36924,102.67.192.0/18,24
AS36924,2c0f:ecf0::/32,64
AS327767,154.73.32.0/22,24
AS327767,2c0f:f720::/32,48
AS328032,2c0f:f238:8000::/33,33
AS328032,2c0f:f238::/33,33
AS30999,41.76.40.0/21,24
AS30999,102.160.0.0/14,24
AS30999,105.235.144.0/20,24
AS30999,154.71.0.0/19,24
